system:index,rainfall,.geo
84,0.5008598707516216,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.7555225411667825,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.7362017596853834,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.5111992588411303,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,1.0717680432025338,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.8762076991713584,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.8861480242888844,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.4524528609499847,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.8279352139242278,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.5552734987532598,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.6498214388687391,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.7503562723332886,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.8257206825176605,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.6272150847129153,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.6374679310264236,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.6301013586812066,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.8182026470503829,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.5919736120926856,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.4679877387145403,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.6554580516228977,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.9619378983664484,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.9578352479190817,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.6784291084743301,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,0.747863158083634,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,0.6506326832443147,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,0.49972418370998334,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0.6883385357385333,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,0.5577561195069666,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,0.6005429512573913,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0.6701241768072783,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,0.8641725938650872,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,1.024702683481089,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,0.6613153640126934,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,0.6008734188028269,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,0.672688555576814,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,0.7757254986200348,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.5831682468635814,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.47282620065615266,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.4328456671527289,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.5405762075097356,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.7318960508062115,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.6960002908639616,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.5597107443791128,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.4563162144367328,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.590329758769741,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.5393048141173412,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.7587704268983411,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,0.40896591347005695,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,0.279984212369417,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,0.31402682025365786,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,0.24808800766431743,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,0.29617076571559026,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,0.226242222350555,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,0.1239537405046079,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,0.3404338362485282,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,0.2788196356155411,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,0.2241556872831393,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,0.16002569474183678,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,0.1741912985718659,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,0.14355001600243525,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.08599908445769917,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.13591445137617358,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.16804312063565435,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.20434622660647336,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.12510864279330738,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.09904934837951827,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.15087407982276166,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.19842796715506586,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.1810137381747375,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.09332513278775209,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.2138737752995441,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,0.17261719859814725,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,0.12284289417667679,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,0.17864820015466512,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,0.1016433207196906,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,0.05437184565458132,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,0.023328406252686017,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,0.05735586868171686,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,0.06833259868649615,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,0.04758148171452838,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,0.06634780858277535,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,0.06896954464070129,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,0.07583292318542767,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,0.10146576517251385,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.23522953455734003,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.09572345624155842,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.06080105840132563,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.12860121146675313,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.11904376923310324,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.16339171491003618,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.1711091311642098,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.1595674674186274,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.2252316787029626,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.2731473417717812,"{""type"":""MultiPoint"",""coordinates"":[]}"
