DISTRICT,NAME
1,Bugesera
2,Gatsibo
3,Kayonza
4,Kirehe
5,Ngoma
6,Nyagatare
7,Rwamagana
8,Gasabo
9,Kicukiro
10,Nyarugenge
11,Burera
12,Gakenke
13,Gicumbi
14,Musanze
15,Rulindo
16,Gisagara
17,Huye
18,Kamonyi
19,Muhanga
20,Nyamagabe
21,Nyanza
22,Nyaruguru
23,Ruhango
24,Karongi
25,Ngororero
26,Nyabihu
27,Nyamasheke
28,Rubavu
29,Rusizi
30,Rutsiro
